序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
158,臺中市,2017/01/02,大里,2.0,0.55,445.62,22.2,-,75,42.0,28.4,8.41,19.99,-,1.956,0.2,1.75,1.49,0.92,21.81,-,75.4,-
159,臺中市,2017/01/01,大里,2.3,0.67,452.92,22.2,-,70,39.0,33.34,12.4,20.95,-,2.111,0.25,1.86,1.19,0.8,21.13,-,77.11,-
160,臺中市,2016/12/31,大里,2.5,0.82,450.1,21.3,-,69,31.0,46.28,21.26,25.02,-,2.311,0.42,1.89,1.06,0.69,20.7,-,74.77,-
161,臺中市,2016/12/30,大里,2.9,0.7,449.97,18.2,-,43,23.0,41.1,12.81,28.29,-,2.148,0.34,1.81,1.2,0.8,19.52,-,68.91,-
162,臺中市,2016/12/29,大里,1.3,0.31,426.42,26.5,-,20,10.0,17.01,2.91,14.11,-,1.803,0.1,1.7,2.77,1.33,18.08,-,68.19,-
163,臺中市,2016/12/28,大里,1.7,0.45,434.63,16.6,-,-,-,26.58,5.93,20.65,-,1.931,0.2,1.73,1.82,1.11,16.77,-,76.57,-
164,臺中市,2016/12/27,大里,2.3,0.54,444.83,16.6,-,48,17.0,21.23,4.32,16.9,-,1.956,0.19,1.77,3.48,1.37,19.99,-,69.77,-
165,臺中市,2016/12/26,大里,2.9,0.57,443.93,20.9,-,84,38.0,24.94,3.17,21.77,-,1.956,0.21,1.75,1.52,1.05,22.42,-,76.45,-
166,臺中市,2016/12/25,大里,2.2,0.68,452.72,28.1,-,94,43.0,30.56,5.67,24.88,-,2.087,0.26,1.83,1.46,0.84,23.19,-,72.72,-
167,臺中市,2016/12/24,大里,3.4,0.74,454.09,22.8,-,98,43.0,38.69,6.5,32.2,-,2.149,0.29,1.86,1.47,1.27,22.93,-,63.96,-
168,臺中市,2016/12/23,大里,2.5,0.73,445.57,26.4,-,57,28.0,29.31,5.3,24.04,-,2.081,0.23,1.85,1.91,0.84,22.93,-,61.38,-
169,臺中市,2016/12/22,大里,1.9,0.53,444.82,11.2,-,59,24.0,25.81,5.91,19.9,-,2.044,0.28,1.76,2.22,1.27,23.94,-,72.34,-
170,臺中市,2016/12/21,大里,3.7,0.58,450.32,21.0,-,100,46.0,30.96,5.8,25.16,-,2.118,0.34,1.78,1.59,1.33,24.58,-,74.57,-
171,臺中市,2016/12/20,大里,5.1,0.91,463.65,28.6,-,90,41.0,49.38,11.54,37.83,-,2.491,0.63,1.86,1.26,0.95,24.11,-,71.94,-
172,臺中市,2016/12/19,大里,2.8,0.81,458.31,25.8,-,70,34.0,38.08,8.2,29.88,-,2.303,0.46,1.84,1.39,0.81,22.16,-,71.12,-
173,臺中市,2016/12/18,大里,3.5,0.7,454.34,27.2,-,71,35.0,32.95,7.98,24.97,-,2.161,0.29,1.87,1.27,0.74,21.21,-,69.83,-
174,臺中市,2016/12/17,大里,2.6,0.73,448.07,24.0,-,63,31.0,37.09,6.59,30.52,-,2.202,0.39,1.82,1.27,0.9,20.73,-,62.94,-
175,臺中市,2016/12/16,大里,1.6,0.43,426.83,26.4,-,45,17.0,19.12,1.86,17.26,-,1.846,0.12,1.72,2.54,1.63,18.41,-,59.3,-
176,臺中市,2016/12/15,大里,2.2,0.4,428.34,29.0,-,40,13.0,15.39,2.11,13.3,-,1.848,0.12,1.73,2.98,1.32,19.17,-,65.08,-
177,臺中市,2016/12/14,大里,2.8,0.49,437.88,23.4,-,44,14.0,24.63,7.24,17.39,-,1.985,0.23,1.76,2.57,1.08,21.93,-,66.72,-
178,臺中市,2016/12/13,大里,2.8,0.79,455.35,17.2,-,52,24.0,43.56,14.64,28.92,-,2.292,0.48,1.82,1.37,0.73,24.07,-,62.61,-
179,臺中市,2016/12/12,大里,2.5,0.71,449.59,18.6,-,76,35.0,35.4,10.76,24.63,-,2.241,0.42,1.82,1.46,0.88,23.68,-,68.63,-
180,臺中市,2016/12/11,大里,3.0,0.6,450.59,23.9,-,73,32.0,28.62,5.17,23.45,-,2.041,0.22,1.82,1.42,1.12,23.59,-,71.53,-
181,臺中市,2016/12/10,大里,2.5,0.67,451.2,25.3,-,65,29.0,37.39,11.58,25.82,-,2.155,0.32,1.84,1.46,1.13,23.52,-,71.99,-
182,臺中市,2016/12/09,大里,3.6,0.61,444.54,16.4,-,47,15.0,35.93,12.73,23.2,-,2.141,0.34,1.8,1.5,0.91,23.1,-,73.11,-
183,臺中市,2016/12/08,大里,3.3,0.43,427.97,22.1,-,41,15.0,25.43,3.07,22.37,-,1.917,0.19,1.73,1.81,0.88,22.75,-,72.51,-
184,臺中市,2016/12/07,大里,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,1.44,-,-,-,-,-
185,臺中市,2016/12/06,大里,2.5,0.51,427.89,30.1,-,71,32.0,19.15,1.94,17.21,-,1.912,0.15,1.76,2.55,1.16,22.79,-,61.98,-
186,臺中市,2016/12/05,大里,3.6,0.63,444.97,21.1,-,68,33.0,31.5,6.1,25.41,-,2.094,0.27,1.83,1.59,0.77,25.09,-,73.88,-
187,臺中市,2016/12/02,大里,2.1,0.44,425.73,27.8,-,32,13.0,22.0,3.39,18.61,-,1.882,0.15,1.73,1.9,0.97,23.36,-,68.72,-
188,臺中市,2016/11/29,大里,3.8,0.85,454.57,15.2,-,81,35.0,44.27,12.33,31.94,-,2.32,0.45,1.87,1.3,0.9,23.38,-,70.61,-
189,臺中市,2016/11/27,大里,1.1,0.39,431.82,19.6,-,14,4.0,17.34,1.59,15.75,-,1.829,0.1,1.73,2.62,1.69,21.81,-,75.78,-
190,臺中市,2016/11/26,大里,1.8,0.47,448.13,23.0,-,53,21.0,21.29,4.94,16.35,-,1.982,0.17,1.81,1.98,1.24,24.23,-,76.79,-
191,臺中市,2016/11/25,大里,3.1,0.59,445.61,21.5,-,44,15.0,32.13,7.61,24.52,-,2.101,0.3,1.81,1.4,1.05,24.34,-,72.61,-
192,臺中市,2016/11/24,大里,1.9,0.43,429.1,16.1,-,17,4.0,21.49,3.49,17.99,-,1.877,0.15,1.72,1.92,0.9,23.2,-,68.93,-
193,臺中市,2016/11/23,大里,2.5,0.46,435.54,14.0,-,8,4.0,25.68,5.22,20.46,-,1.958,0.24,1.72,2.12,1.11,22.77,-,82.58,-
194,臺中市,2016/11/22,大里,2.7,0.57,445.32,5.6,-,26,9.0,35.4,13.83,21.57,-,2.045,0.32,1.72,1.52,0.88,25.12,-,78.27,-
195,臺中市,2016/11/21,大里,2.4,0.62,437.9,9.6,-,28,13.0,38.79,19.69,19.1,-,2.183,0.49,1.69,1.7,1.19,25.16,-,78.53,-
196,臺中市,2016/11/20,大里,2.1,0.51,440.33,25.9,-,50,27.0,25.56,5.23,20.32,-,1.924,0.19,1.73,1.72,0.92,27.07,-,69.22,-
197,臺中市,2016/11/19,大里,3.7,0.68,453.65,34.8,-,79,40.0,26.18,2.44,23.74,-,2.117,0.34,1.78,1.19,0.67,27.2,-,66.18,-
198,臺中市,2016/11/18,大里,4.4,0.75,467.68,26.7,-,126,55.0,32.64,4.31,28.33,-,2.155,0.36,1.79,1.02,0.86,25.87,-,76.86,-
199,臺中市,2016/11/17,大里,3.8,0.71,462.35,28.7,-,96,41.0,33.55,5.91,27.64,-,2.2,0.4,1.81,1.39,1.14,25.9,-,74.87,-
200,臺中市,2016/11/16,大里,1.7,0.69,455.95,30.2,-,85,36.0,29.68,4.79,24.87,-,2.135,0.33,1.81,1.27,0.95,25.95,-,74.24,-
201,臺中市,2016/11/15,大里,2.6,0.78,-,27.1,-,108,49.0,31.26,5.06,26.19,-,2.21,0.37,1.84,1.24,0.61,26.65,-,71.86,-
202,臺中市,2016/11/14,大里,3.4,0.91,-,37.2,-,131,69.0,32.39,4.14,28.25,-,2.211,0.36,1.85,1.12,0.68,26.53,-,74.16,-
203,臺中市,2016/11/13,大里,3.4,0.63,449.86,35.1,-,80,44.0,26.57,5.04,21.53,-,2.092,0.24,1.85,1.35,1.05,26.14,-,74.61,-
204,臺中市,2016/11/12,大里,3.4,0.73,447.3,25.0,-,75,39.0,32.45,6.0,26.44,-,2.164,0.32,1.84,1.2,0.74,26.13,-,72.91,-
205,臺中市,2016/11/11,大里,2.8,0.7,445.25,14.0,-,41,20.0,38.68,9.28,29.4,-,2.203,0.38,1.82,1.07,0.74,23.87,-,75.2,-
206,臺中市,2016/11/10,大里,2.4,0.42,429.28,17.1,-,27,12.0,26.4,4.38,22.02,-,1.907,0.18,1.73,1.66,0.79,23.0,-,74.65,-
207,臺中市,2016/11/09,大里,2.5,0.35,418.63,28.3,-,25,9.0,17.41,2.03,15.38,-,1.819,0.11,1.71,2.51,1.25,23.97,-,63.37,-
208,臺中市,2016/11/08,大里,1.9,0.45,439.56,29.0,-,43,14.0,21.17,4.19,16.98,-,1.93,0.19,1.74,2.49,1.13,25.91,-,67.27,-
209,臺中市,2016/11/07,大里,2.3,0.47,442.37,28.1,-,52,26.0,22.76,4.18,18.59,-,1.942,0.22,1.73,1.49,1.28,26.86,-,66.25,-
210,臺中市,2016/11/06,大里,2.1,0.53,448.36,38.5,-,65,35.0,22.51,2.52,19.99,-,1.952,0.17,1.78,1.14,0.71,26.28,-,67.92,-
211,臺中市,2016/11/05,大里,3.3,0.54,446.05,36.7,-,74,34.0,22.2,3.14,19.06,-,1.973,0.24,1.73,1.37,0.92,25.88,-,69.48,-
212,臺中市,2016/11/04,大里,3.6,0.63,449.35,30.2,-,65,32.0,32.06,5.06,27.0,-,2.121,0.33,1.8,1.24,0.94,25.49,-,68.79,-
213,臺中市,2016/11/03,大里,2.0,0.41,427.76,30.2,-,30,12.0,20.19,1.91,18.31,-,1.86,0.16,1.7,1.74,0.9,24.62,-,63.23,-
214,臺中市,2016/11/02,大里,1.2,0.26,423.97,32.5,-,24,6.0,12.73,2.24,10.48,-,1.745,0.08,1.67,3.0,0.97,24.6,-,62.59,-
215,臺中市,2016/11/01,大里,1.5,0.33,426.59,33.3,-,28,8.0,14.2,1.89,12.31,-,1.771,0.09,1.69,2.57,1.0,26.14,-,63.03,-
216,臺中市,2016/10/31,大里,3.9,0.45,441.75,28.6,-,42,16.0,21.86,4.23,17.63,-,1.903,0.16,1.74,1.93,0.88,26.86,-,68.23,-
217,臺中市,2016/10/30,大里,1.5,0.36,427.79,31.1,-,22,10.0,15.25,2.11,13.15,-,1.787,0.09,1.7,1.75,0.87,27.15,-,63.83,-
218,臺中市,2016/10/29,大里,1.4,0.43,444.9,30.8,-,64,29.0,15.29,2.1,13.2,-,1.825,0.14,1.69,2.2,0.93,28.02,-,70.28,-
219,臺中市,2016/10/28,大里,2.8,0.65,447.95,34.6,-,96,55.0,25.43,3.36,22.07,-,2.04,0.29,1.75,1.34,1.02,28.77,-,72.7,-
220,臺中市,2016/10/27,大里,3.6,0.65,459.85,34.4,-,92,54.0,25.75,3.57,22.18,-,2.056,0.31,1.75,1.36,1.26,28.65,-,73.47,-
221,臺中市,2016/10/26,大里,4.5,0.63,452.18,23.8,-,75,32.0,28.63,6.22,22.41,-,2.041,0.28,1.76,1.49,1.23,29.02,-,73.76,-
222,臺中市,2016/10/25,大里,5.1,0.57,455.73,24.4,-,69,27.0,25.84,4.33,21.51,-,2.004,0.26,1.75,1.49,1.25,29.1,-,72.94,-
223,臺中市,2016/10/24,大里,3.3,0.52,447.69,25.1,-,51,22.0,24.81,3.53,21.28,-,1.975,0.22,1.76,1.53,1.35,29.58,-,70.44,-
224,臺中市,2016/10/23,大里,2.3,0.31,424.8,19.1,-,27,12.0,13.77,2.35,11.42,-,1.764,0.08,1.68,1.79,1.36,29.64,-,71.26,-
225,臺中市,2016/10/22,大里,2.3,0.35,432.21,18.4,-,39,15.0,13.36,2.97,10.39,-,1.817,0.16,1.66,2.09,1.92,29.52,-,73.62,-
226,臺中市,2016/10/21,大里,2.8,0.53,451.03,17.7,-,59,28.0,23.37,4.04,19.33,-,2.055,0.3,1.76,1.31,1.05,29.06,-,74.45,-
227,臺中市,2016/10/19,大里,5.8,0.69,455.49,44.3,-,106,52.0,26.43,2.45,23.98,-,2.089,0.37,1.72,1.85,1.62,30.2,-,68.71,-
228,臺中市,2016/10/18,大里,3.5,0.57,457.48,34.9,-,89,43.0,24.16,2.84,21.33,-,2.031,0.3,1.73,1.41,1.28,29.48,-,71.42,-
229,臺中市,2016/10/17,大里,4.6,0.61,461.42,46.8,-,99,51.0,19.82,2.56,17.26,-,1.959,0.22,1.74,1.31,1.15,29.36,-,70.35,-
230,臺中市,2016/10/16,大里,3.8,0.51,456.29,41.8,-,85,46.0,17.49,2.5,14.98,-,1.894,0.15,1.75,1.3,1.01,28.98,-,71.28,-
231,臺中市,2016/10/15,大里,3.5,0.64,451.45,38.5,-,77,42.0,24.52,4.83,19.68,-,2.069,0.3,1.77,1.58,1.24,28.74,-,72.99,-
232,臺中市,2016/10/14,大里,2.5,0.5,439.86,24.3,-,48,22.0,24.97,5.47,19.49,-,1.939,0.22,1.72,1.81,0.85,27.96,-,72.03,-
233,臺中市,2016/10/13,大里,1.9,0.4,431.58,29.7,-,31,13.0,19.84,3.0,16.73,-,1.869,0.17,1.7,1.84,0.84,27.77,-,70.8,-
234,臺中市,2016/10/12,大里,0.8,0.36,423.49,23.8,-,21,9.0,19.43,3.11,16.32,-,1.798,0.13,1.67,2.27,0.83,28.06,-,70.86,-
235,臺中市,2016/10/11,大里,2.2,0.39,427.56,26.6,-,20,8.0,17.28,2.83,14.44,-,1.839,0.15,1.69,1.88,0.8,27.9,-,74.2,-
236,臺中市,2016/10/10,大里,0.5,0.3,418.67,28.9,-,9,4.0,12.56,1.25,11.31,-,1.752,0.08,1.67,2.07,0.84,26.63,-,72.97,-
237,臺中市,2016/10/09,大里,1.0,0.35,422.46,26.1,-,13,6.0,12.86,1.89,10.98,-,1.769,0.09,1.68,2.15,1.01,26.33,-,75.96,-
238,臺中市,2016/10/08,大里,2.3,0.38,439.62,8.4,-,20,7.0,19.39,7.48,11.91,-,1.833,0.18,1.66,1.35,1.04,27.28,-,78.96,-
239,臺中市,2016/10/07,大里,2.7,0.54,443.85,11.1,-,61,28.0,25.85,10.3,15.55,-,2.137,0.44,1.7,1.2,0.99,27.86,-,79.12,-
240,臺中市,2016/10/06,大里,2.6,0.6,454.37,35.3,-,75,41.0,20.9,3.7,17.2,-,2.059,0.3,1.76,1.74,1.38,28.82,-,76.9,-
241,臺中市,2016/10/05,大里,4.0,0.61,442.69,37.4,-,78,38.0,23.65,2.47,21.15,-,2.085,0.3,1.79,1.53,1.07,29.56,-,71.53,-
242,臺中市,2016/10/04,大里,2.7,0.57,450.13,32.7,-,57,25.0,24.37,4.37,20.0,-,2.064,0.29,1.77,1.66,1.17,29.48,-,70.19,-
243,臺中市,2016/10/03,大里,1.9,0.46,451.53,30.6,-,59,27.0,19.24,3.27,15.97,-,1.901,0.21,1.7,1.59,1.08,29.21,-,73.22,-
244,臺中市,2016/10/02,大里,2.8,0.36,450.9,24.9,-,41,21.0,15.91,3.17,12.73,-,1.815,0.14,1.68,1.43,0.82,29.32,-,71.21,-
245,臺中市,2016/10/01,大里,1.9,0.38,451.36,20.1,-,43,21.0,17.1,5.47,11.63,-,1.813,0.14,1.67,1.39,1.25,28.3,-,76.98,-
246,臺中市,2016/09/30,大里,2.4,0.43,446.34,19.6,-,37,16.0,17.91,5.33,12.58,-,1.925,0.2,1.72,1.88,1.13,28.73,-,72.66,-
247,臺中市,2016/09/29,大里,5.9,0.54,443.88,19.9,-,36,19.0,21.57,5.18,16.4,-,-,-,-,1.35,1.05,28.44,-,78.3,-
248,臺中市,2016/09/28,大里,1.3,0.4,416.47,25.2,-,21,11.0,12.34,2.33,10.02,-,-,-,-,2.88,2.44,27.24,-,80.95,-
249,臺中市,2016/09/27,大里,1.1,0.08,392.62,11.8,-,10,2.0,4.35,0.89,3.44,-,-,-,-,5.31,2.61,28.16,-,79.35,-
250,臺中市,2016/09/26,大里,1.8,0.34,424.85,15.8,-,30,12.0,18.6,6.04,12.56,-,1.832,0.13,1.7,2.17,1.14,29.93,-,68.74,-
251,臺中市,2016/09/25,大里,3.2,0.42,430.22,25.6,-,54,26.0,20.62,4.08,16.54,-,1.9,0.16,1.74,1.91,0.88,29.57,-,70.14,-
252,臺中市,2016/09/24,大里,2.7,0.48,434.22,35.5,-,57,25.0,23.91,3.92,19.99,-,2.006,0.21,1.79,1.51,0.96,29.57,-,69.48,-
253,臺中市,2016/09/23,大里,1.6,0.48,433.66,35.7,-,52,22.0,22.62,3.36,19.26,-,2.01,0.23,1.78,1.7,1.2,29.93,-,69.14,-
254,臺中市,2016/09/22,大里,2.5,0.5,438.7,37.7,-,57,25.0,21.07,2.2,18.87,-,2.046,0.26,1.79,1.42,1.01,29.71,-,70.07,-
255,臺中市,2016/09/21,大里,2.5,0.51,435.69,34.0,-,53,25.0,23.27,3.09,20.17,-,2.035,0.22,1.81,1.71,1.09,29.26,-,68.09,-
256,臺中市,2016/09/20,大里,1.8,0.5,433.3,35.6,-,55,27.0,19.16,2.57,16.59,-,2.002,0.18,1.82,1.93,0.92,28.71,-,66.5,-
257,臺中市,2016/09/19,大里,2.1,0.5,426.82,42.5,-,56,27.0,19.77,3.23,16.54,-,1.962,0.17,1.8,1.84,0.99,28.92,-,66.67,-
258,臺中市,2016/09/18,大里,2.0,0.32,413.59,32.7,-,23,10.0,12.3,2.66,9.65,-,1.78,0.09,1.69,2.25,1.2,28.62,-,71.73,-
259,臺中市,2016/09/17,大里,1.2,0.33,419.78,10.4,-,19,10.0,14.95,4.11,10.85,-,1.756,0.1,1.66,1.29,0.95,27.58,-,83.01,-
260,臺中市,2016/09/16,大里,1.6,0.33,430.59,23.0,-,27,9.0,12.51,3.68,8.83,-,1.794,0.12,1.68,1.88,0.93,29.51,-,68.48,-
261,臺中市,2016/09/15,大里,1.8,0.54,424.56,11.3,-,27,15.0,16.39,6.12,10.28,-,1.925,0.22,1.7,1.1,0.73,27.47,-,80.47,-
262,臺中市,2016/09/14,大里,1.8,0.58,429.58,10.2,-,33,11.0,26.67,12.58,14.08,-,2.01,0.34,1.67,1.99,1.54,29.66,-,69.66,-
263,臺中市,2016/09/13,大里,1.3,0.36,406.97,38.4,-,26,11.0,13.56,1.39,12.17,-,1.817,0.13,1.69,2.41,1.2,30.0,-,71.68,-
264,臺中市,2016/09/12,大里,2.8,0.4,425.74,29.6,-,38,13.0,15.77,4.51,11.26,-,1.848,0.14,1.71,2.33,1.15,30.1,-,70.18,-
265,臺中市,2016/09/11,大里,3.3,0.34,430.92,20.3,-,24,12.0,15.7,4.88,10.82,-,1.782,0.09,1.7,1.6,1.4,29.92,-,71.72,-
266,臺中市,2016/09/10,大里,1.6,0.35,419.95,20.7,-,25,12.0,15.28,3.42,11.86,-,1.831,0.15,1.68,1.55,1.24,28.79,-,77.44,-
267,臺中市,2016/09/09,大里,2.3,0.33,418.17,15.0,-,24,10.0,17.28,5.38,11.89,-,1.849,0.18,1.67,1.47,1.32,28.6,-,77.02,-
268,臺中市,2016/09/08,大里,2.3,0.41,413.28,14.1,-,24,10.0,17.56,5.65,11.93,-,1.942,0.25,1.7,1.56,1.22,28.08,-,76.68,-
269,臺中市,2016/09/07,大里,2.5,0.31,407.8,17.0,-,19,5.0,12.36,3.33,9.04,-,1.847,0.18,1.67,1.89,1.61,27.97,-,75.32,-
270,臺中市,2016/09/06,大里,2.4,0.35,412.75,23.9,-,22,10.0,12.84,2.61,10.23,-,1.858,0.14,1.72,1.83,1.45,28.82,-,76.51,-
271,臺中市,2016/09/05,大里,2.3,0.43,418.32,39.2,-,32,16.0,13.64,1.93,11.7,-,1.926,0.14,1.78,1.45,1.12,29.87,-,74.46,-
272,臺中市,2016/09/04,大里,1.9,0.43,420.21,35.3,-,29,14.0,14.41,1.96,12.45,-,1.907,0.12,1.79,1.46,0.95,29.32,-,78.7,-
273,臺中市,2016/09/03,大里,2.0,0.48,430.84,13.5,-,22,12.0,20.45,3.74,16.7,-,2.002,0.19,1.81,1.43,0.97,28.45,-,80.67,-
274,臺中市,2016/09/02,大里,2.4,0.44,412.15,20.6,-,39,19.0,15.56,2.67,12.87,-,1.936,0.2,1.74,1.55,1.36,29.2,-,73.77,-
275,臺中市,2016/09/01,大里,2.3,0.51,407.61,55.3,-,80,45.0,13.05,0.92,12.11,-,1.997,0.14,1.86,1.96,1.75,30.2,-,63.52,-
276,臺中市,2016/08/31,大里,3.8,0.54,427.6,50.7,-,58,32.0,17.43,1.65,15.77,-,2.122,0.19,1.93,1.64,1.41,29.42,-,66.33,-
277,臺中市,2016/08/30,大里,3.3,0.51,419.17,38.3,-,68,37.0,17.84,1.75,16.09,-,2.13,0.18,1.95,1.48,1.29,28.47,-,70.78,-
278,臺中市,2016/08/29,大里,1.3,0.5,412.48,49.2,-,56,28.0,18.29,2.13,16.16,-,2.023,0.17,1.86,1.83,0.75,29.78,-,63.52,-
279,臺中市,2016/08/28,大里,1.3,0.39,411.62,40.1,-,51,26.0,14.22,2.38,11.85,-,1.858,0.09,1.77,1.87,1.31,29.66,-,73.7,-
280,臺中市,2016/08/26,大里,3.4,0.49,431.36,41.2,-,74,42.0,17.23,1.71,15.52,-,2.052,0.22,1.84,1.48,0.92,30.5,-,69.36,-
281,臺中市,2016/08/25,大里,3.6,0.45,424.71,49.0,-,64,37.0,15.74,1.32,14.41,-,2.007,0.18,1.83,1.29,1.18,30.15,-,69.83,-
282,臺中市,2016/08/24,大里,2.7,0.37,413.09,47.5,-,60,33.0,11.67,0.86,10.78,-,1.877,0.14,1.74,1.91,1.33,30.44,-,70.49,-
283,臺中市,2016/08/23,大里,2.8,0.35,416.79,44.3,-,57,30.0,11.98,1.51,10.47,-,1.894,0.13,1.76,1.75,1.15,30.2,-,69.92,-
284,臺中市,2016/08/22,大里,3.8,0.4,418.27,30.7,-,50,27.0,16.87,3.34,13.53,-,1.926,0.15,1.78,1.71,1.2,30.13,-,71.41,-
285,臺中市,2016/08/21,大里,2.8,0.28,413.18,26.7,-,40,20.0,9.72,1.66,8.06,-,1.792,0.08,1.71,1.58,1.1,29.16,-,72.13,-
286,臺中市,2016/08/20,大里,2.3,0.28,417.56,23.9,-,35,12.0,11.46,2.86,8.6,-,1.81,0.1,1.71,1.75,1.59,28.74,-,71.34,-
287,臺中市,2016/08/19,大里,2.5,0.37,419.23,21.5,-,31,12.0,15.42,2.47,12.94,-,1.986,0.25,1.74,1.29,1.08,28.01,-,75.48,-
288,臺中市,2016/08/18,大里,2.5,0.33,415.68,22.7,-,23,8.0,14.39,3.48,10.91,-,1.918,0.18,1.74,1.43,1.24,28.46,-,74.05,-
289,臺中市,2016/08/17,大里,2.1,0.36,416.64,24.2,-,26,10.0,13.94,2.55,11.38,-,1.884,0.17,1.71,1.61,1.16,28.1,-,75.47,-
290,臺中市,2016/08/16,大里,2.8,0.37,418.28,23.5,-,35,16.0,14.48,1.91,12.57,-,1.968,0.19,1.78,1.29,1.05,28.1,-,76.78,-
291,臺中市,2016/08/15,大里,3.5,0.42,419.12,28.8,-,33,14.0,17.37,3.05,14.32,-,1.912,0.18,1.73,1.6,1.13,29.0,-,74.0,-
292,臺中市,2016/08/14,大里,2.4,0.38,419.03,34.4,-,37,18.0,11.09,1.93,9.16,-,1.871,0.12,1.75,1.54,1.29,28.86,-,74.6,-
293,臺中市,2016/08/13,大里,3.1,0.44,420.63,26.2,-,25,13.0,16.93,2.81,14.12,-,1.936,0.18,1.76,1.23,1.01,27.37,-,78.28,-
294,臺中市,2016/08/12,大里,4.1,0.41,421.48,12.4,-,28,13.0,17.56,3.77,13.79,-,2.023,0.27,1.75,1.4,1.14,26.94,-,83.17,-
295,臺中市,2016/08/11,大里,2.6,0.36,415.46,29.6,-,34,18.0,13.54,2.11,11.43,-,1.931,0.18,1.75,1.32,1.06,28.42,-,77.84,-
296,臺中市,2016/08/10,大里,3.2,0.44,424.32,30.8,-,40,14.0,16.99,2.48,14.51,-,1.991,0.29,1.71,1.47,1.28,28.65,-,73.04,-
297,臺中市,2016/08/09,大里,2.8,0.32,418.34,30.4,-,34,13.0,13.32,2.12,11.2,-,1.883,0.18,1.71,1.76,1.18,29.67,-,71.1,-
298,臺中市,2016/08/08,大里,1.2,0.29,424.03,22.5,-,30,12.0,11.95,2.47,9.48,-,1.838,0.1,1.74,1.94,1.05,30.13,-,69.17,-
299,臺中市,2016/08/07,大里,1.7,0.47,430.86,30.9,-,40,21.0,11.95,2.75,9.2,-,1.947,0.11,1.83,1.81,1.12,29.79,-,71.63,-
300,臺中市,2016/08/06,大里,2.8,0.56,433.54,37.6,-,50,26.0,16.7,3.32,13.38,-,2.044,0.19,1.86,1.68,1.12,29.57,-,70.95,-
301,臺中市,2016/08/05,大里,3.4,0.62,435.04,27.9,-,32,19.0,17.57,3.44,14.13,-,1.988,0.21,1.78,1.62,1.51,29.74,-,69.42,-
302,臺中市,2016/08/04,大里,5.4,0.4,436.15,21.7,-,29,15.0,19.77,4.45,15.32,-,1.921,0.17,1.75,1.78,1.47,29.99,-,68.26,-
303,臺中市,2016/08/03,大里,3.3,0.31,429.66,33.2,-,32,16.0,12.24,1.93,10.31,-,1.9,0.14,1.76,1.76,1.51,29.46,-,69.44,-
304,臺中市,2016/08/02,大里,2.2,0.46,440.24,26.6,-,34,19.0,18.11,2.85,15.27,-,2.061,0.24,1.82,1.61,1.23,28.72,-,74.77,-
305,臺中市,2016/08/01,大里,2.3,0.44,432.98,27.8,-,43,-,17.26,3.79,13.47,-,2.0,0.18,1.83,1.91,1.67,29.63,-,72.39,-
306,臺中市,2016/07/31,大里,2.1,0.34,423.05,51.4,-,54,-,11.06,1.22,9.84,-,1.852,0.09,1.77,1.67,1.11,31.11,-,65.98,-
307,臺中市,2016/07/30,大里,1.3,0.33,429.34,54.1,-,42,-,12.32,1.94,10.39,-,1.874,0.12,1.76,1.67,1.15,29.71,-,67.84,-
308,臺中市,2016/07/27,大里,2.2,0.26,424.58,26.8,-,37,-,13.15,2.57,10.58,-,1.877,0.12,1.76,1.95,1.74,30.24,-,66.21,-
309,臺中市,2016/07/26,大里,3.0,0.34,433.13,33.0,-,48,-,15.85,2.58,13.27,-,1.965,0.16,1.8,1.69,1.44,30.36,-,63.15,-
310,臺中市,2016/07/25,大里,3.6,0.36,432.0,25.0,-,37,-,17.72,3.41,14.32,-,1.881,0.14,1.75,1.56,1.07,30.37,-,63.54,-
311,臺中市,2016/07/24,大里,2.7,0.29,429.07,24.4,-,32,-,11.55,1.64,9.9,-,1.852,0.09,1.77,1.7,1.3,30.42,-,61.26,-
312,臺中市,2016/07/23,大里,2.4,0.27,425.06,29.4,-,38,-,11.88,2.34,9.54,-,1.858,0.08,1.78,1.96,1.66,30.11,-,65.62,-
313,臺中市,2016/07/22,大里,2.4,0.31,427.08,26.9,-,43,-,14.08,2.42,11.66,-,1.931,0.13,1.8,1.63,1.4,30.09,-,66.12,-
314,臺中市,2016/07/21,大里,2.6,0.28,423.86,25.0,-,30,-,14.13,3.35,10.78,-,1.855,0.12,1.74,1.68,1.47,29.6,-,69.01,-
